page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/6280260,236079,0.48,9,"('Курс доллара. Прогноз на 16–20 октября - Коммерсантъ',)"
https://www.kommersant.ru/lenta,40371,2.89,6,"('Лента новостей в режиме реального времени: последние новости России и мира на сегодня - Коммерсантъ', 'Лента новостей в режиме реального времени: последние новости России и мира на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/6280394,29583,3.51,5,"('В горах Непала ищут упавшую в расщелину российскую альпинистку Оленеву – Коммерсантъ',)"
https://www.kommersant.ru/doc/6267841,28995,2.55,6,"('Армия Израиля опубликовала карту запретной зоны вокруг сектора Газа – Коммерсантъ',)"
https://www.kommersant.ru/doc/6265718,15251,2.59,9,"('«Хамас»: краткая история движения', 'Краткий курс истории «Хамаса» - Коммерсантъ')"
https://www.kommersant.ru/doc/6268981,14280,2.7,6,"('Wildberries отозвал комиссию – Коммерсантъ FM',)"
https://www.kommersant.ru/doc/6265524,11297,1.12,5,"('Что происходит в Израиле. Главное и карта - Коммерсантъ',)"
https://www.kommersant.ru/doc/2674108,10963,1.91,7,"('Анклав: что такое, список всех анклавов мира',)"
https://www.kommersant.ru/doc/6279899,8831,0.08,7,"('«Яндекс Погода»: 14 октября в Черноземье будет облачно, до +18° – Коммерсантъ Воронеж',)"
https://www.kommersant.ru/doc/6269001,7420,2.82,9,"('Песню «Это пройдет» группы «Порнофильмы» внесли в реестр запрещенных материалов – Коммерсантъ',)"
https://www.kommersant.ru/doc/6280395,6683,0.15,8,"('«Яндекс Погода»: 15 октября в Черноземье будет облачно с прояснениями, до +20° – Коммерсантъ Воронеж',)"
https://www.kommersant.ru/doc/4760817,6616,1.38,9,"('Материнский капитал в 2023 году: сумма, как потратить', 'Материнский капитал в 2024 году: сумма, как потратить')"
https://www.kommersant.ru/regions/23,6218,1.59,9,"('Последние новости Краснодара и Краснодарского края на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/2402320,5823,0.96,7,"('Кто такие сунниты и шииты – Власть',)"
https://www.kommersant.ru/doc/5953459,5347,2.67,7,"('Пенсионный возраст в России 2024: годы рождения, возраст выхода на пенсию', 'Пенсионный возраст в России 2023: годы рождения')"
https://www.kommersant.ru/doc/5720466,5280,0.61,7,"('Перспективная карта метро Москвы и МЦД до 2030 года', 'Опубликована новая перспективная карта метро Москвы и МЦД до 2030 года – Коммерсантъ')"
https://www.kommersant.ru/regions/36,5235,1.05,8,"('Последние новости Воронежа и Воронежской области на сегодня - Коммерсантъ', 'Последние новости Воронежа и Воронежской области на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/4898652,4641,1.16,9,"('Мелатонин: что за гормон, когда вырабатывается и для чего нужен – Наука',)"
https://www.kommersant.ru/doc/254914,4607,2.41,9,"('Словарь жестов – Власть',)"
https://www.kommersant.ru/regions/2,4492,3.81,6,"('Последние новости Уфы и Башкортостана на сегодня - Коммерсантъ', 'Последние новости Уфы и Башкортостана на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/6268825,4309,0.23,9,"('Human Rights Watch: Израиль использовал белый фосфор в Газе и Ливане – Коммерсантъ',)"
https://www.kommersant.ru/doc/6236904,4280,3.04,5,"('Пенсии неработающим пенсионерам в 2024 году',)"
https://www.kommersant.ru/doc/2674106,4274,0.16,7,"('Что такое анклав – Власть',)"
https://www.kommersant.ru/doc/2319540,4243,3.61,8,"('Смерть Ясира Арафата стала научным фактом – Газета Коммерсантъ № 187 (5219) от 14.10.2013',)"
https://www.kommersant.ru/doc/5940565,4209,3.14,7,"('Оземпик: что это, как работает, побочные эффекты',)"
https://www.kommersant.ru/doc/6252399,4159,0.38,9,"('Парламент Армении ратифицировал Римский статут МУС – Коммерсантъ',)"
https://www.kommersant.ru/doc/1122350,4154,2.79,7,"('Каперсы: что такое, чем полезны, фото',)"
https://www.kommersant.ru/doc/1385337,4122,1.99,7,"('""Брокколи не должна соприкасаться с кипящей водой"" – Weekend Украина', '&quot;Брокколи не должна соприкасаться с кипящей водой&quot; – Weekend Украина')"
https://www.kommersant.ru/doc/5252407,4120,0.78,8,"('Весенний призыв: сроки и условия',)"
https://www.kommersant.ru/doc/5272200,3983,1.76,6,"('Социофобия: признаки, причины, как справиться',)"
https://www.kommersant.ru/doc/6000766,3866,2.35,5,"('Самый богатый человек в мире Бернар Арно потерял за день $11,2 млрд из-за падения акций LVMH – Коммерсантъ',)"
https://www.kommersant.ru/doc/3126638,3856,0.57,8,"('Все президенты США в цифрах, фактах и лозунгах', 'Хозяева Белого дома – Власть')"
https://www.kommersant.ru/doc/2588091,3791,0.5,9,"('Семь лет к пожизненному сроку – Картина дня – Коммерсантъ',)"
https://www.kommersant.ru/doc/3867733,3622,0.28,9,"('С телефонов Сбербанка позвонили мошенники – Коммерсантъ',)"
https://www.kommersant.ru/projects/eu,3614,0.8,9,()
https://www.kommersant.ru/doc/6280344,3545,3.47,8,"('Победитель шоу «Танцы» Дмитрий Щебет задержан в Москве с марихуаной – Коммерсантъ',)"
https://www.kommersant.ru/doc/6279869,3386,1.68,9,"('Сбежавший с Украины футболист Распутько может оказаться в команде из Петербурга – Коммерсантъ Санкт-Петербург',)"
https://www.kommersant.ru/rubric/6,3288,3.95,6,"('Происшествия в России и мире на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/5827697,3276,1.07,7,"('У актера Брюса Уиллиса диагностировали деменцию – Коммерсантъ',)"
https://www.kommersant.ru/theme/1960,3273,1.47,9,"('Донбасс: последние новости на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/2296204,3196,1.66,7,"('Что едят ежи: правда и вымысел – Коммерсантъ',)"
https://www.kommersant.ru/doc/6280257,3111,2.7,9,"('«Хамас» высоко ценит позицию Путина по войне с Израилем – Коммерсантъ',)"
https://www.kommersant.ru/regions/66,3090,1.0,9,"('Последние новости Екатеринбурга и Свердловской области на сегодня - Коммерсантъ', 'Последние новости Екатеринбурга и Свердловской области на сегодня - Коммерсантъ')"
